# Project C: The Clouds — Resources Database
# Generated by Tools → ProjectC → Resources → CSV Import/Export
# This file is the source of truth. .asset files are GENERATED from it.

# block=inventory
itemName,itemType,description,maxStack,weightKg
Portable MAG-1,Tech,"Малый генератор 1,5 кВт. Для освещения каюты и зарядки рации.",20,1.0
Portable Radio R-2,Tech,Дальность 20 км. 4 канала. Вес 3 кг.,5,0.5
Portable Sample Box,Equipment,Деревянный с гнёздами и крышкой.,5,0.5
Portable SOL Terminal,Tech,Карманное устройство для доступа к системе учёта НП.,5,0.5
Portable Voltmeter,Tech,Для проверки цепей МАГ. Шкала 0–100 В.,5,0.5
Porthole Frame,Equipment,"Латунная, с болтами.",5,0.5
POS-40 Solder,Equipment,Оловянно-свинцовый. Палочка 8 мм.,5,0.5
Postage Stamp Primium,Equipment,Серия «Города». Номинал 1 скол.,5,0.5
Postage Stamp Secundus,Equipment,Серия «Города». Номинал 2 скола.,5,0.5
Poster Caution - Mezium!,Equipment,Инструкция по безопасности.,20,1.0
Powder Fire Extinguisher,Equipment,На 5 кг. Настенный.,5,0.5
Power Cable 2x4mm²,Tech,"Медный, двойная изоляция. Бухта 50 м.",5,0.5
Precision Screwdriver Set,Tech,12 штук. Для часов и навигационных приборов.,5,0.5
Precision Work Glasses,Equipment,С увеличительными вставками по бокам. Для механиков и ювелиров.,5,0.5
Pressed Cork,Resources,Для шумоизоляции и подложки палубного настила.,50,1.0
Primer Caps,Equipment,Коробка 100 шт. Для снаряжения патронов кустарно.,5,0.5
Primium Customs Peak Cap,Equipment,Тёмно-зелёная с золотым кантом. Носится сотрудниками портовой инспекции.,5,0.5
Primium Dumplings,Equipment,Ручная лепка. В пачке 1 кг.,5,0.5
Primium Forged Steel,Food,Высокоуглеродистая сталь с традиционной ковкой. Инструмент и оружие высшего качества.,20,0.5
Primium Phone Book,Tech,2089 год выпуска.,5,0.5
Primium Port Stamp,Equipment,Резиновый + подушка. Для документов.,5,0.5
Primium View Postcard,Equipment,Фототипия. На обороте место для письма.,5,0.5
Promissory Note,Equipment,"Ручной текст, заверяется подписью и печатью.",5,0.5
Propeller Cover,Equipment,"Парусиновый, для стоянки.",5,0.5
Propeller Hub,Equipment,"Стальная, с конусным креплением.",5,0.5
Propeller Shaft,Equipment,Из закалённой стали. 2 м.,5,0.5
Punch 2089,Food,Ром + чай + мёд. Согревающий.,10,0.3
Purified Antigrav AG-1,Antigrav,"Высшая степень очистки. Стабильное поле, минимальная утечка. Используется в навигационных блоках и прецизионных приборах.",20,1.0
Purple Rope,Equipment,"Поясной шнур мантии, элемент одежды членов секты фанатиков Фрея",5,0.5
Quilted Cotton Jacket,Equipment,"Тёплая, тяжёлая. Для зимней палубы.",5,0.5
Rabbit Stew,Food,Деликатес. Производится в частных хозяйствах.,10,0.3
Rack Jack,Tech,Для ремонта МАГ-генераторов.,5,0.5
Radio Receiver Wave,Tech,Для прослушивания новостей НП.,5,0.5
Radio Repeater,Tech,Оборудование дальней радиосвязи для навигации и коммуникации между кораблями и поселениями,5,0.5
Rain Cape,Equipment,"Складная, в чехле на пояс.",5,0.5
Rain Poncho,Equipment,Круглый плащ с отверстием для головы. Из полимерной плёнки.,5,0.5
Raw Antigrav,Antigrav,Неочищенная руда с примесями горных пород. Требует обработки мезий-катализатором. Добывается на верхних шахтах Секунда.,20,1.0
Raw Mezium,Meziy,Нестабильная маслянистая жидкость зеленоватого оттенка. Хранится только в герметичных контейнерах при температуре ниже 10 °C.,20,1.0
Red Bandana,Equipment,Шёлковая. Повязывается на шею.,5,0.5
Red Dot Sight,Equipment,Красная точка. Для ближнего боя.,5,0.5
Red Ink,Equipment,Для пометок в документах.,5,0.5
Red Table Wine,Food,Из винограда южных теплиц.,20,0.5
Refined Mezium Fuel,Fuel,Стабильная горючая фракция. Основное топливо для МАГ-генераторов и парогенераторов.,50,1.0
Reflector Heater,Equipment,С параболическим отражателем.,5,0.5
Reinforced Handcuffs,Equipment,"Стальные, с двойным замком. Две пары соединены цепью.",5,0.5
Reinforced Mechanical Thimble,Equipment,"Стальной, с насечкой. Для прошивки брезента и кожи.",5,0.5
Removable Fur Collar,Equipment,На кнопках. Для демисезонной куртки.,5,0.5
Repeater R-100,Tech,Усиление сигнала для горных районов.,5,0.5
Replacement MAG Collector,Tech,Узел съёма тока. Медно-графитовые щётки.,5,0.5
Respirator Mask,Equipment,"Защитное устройство для дыхания. Обязательна в городах с плохой атмосферой, особенно в Квартусе, где воздух насыщен сажей и смогом",5,0.5
Respirator Secundus-4,Food,С угольным фильтром. Модель для городских условий.,10,0.3
Revolver Primium-44,Equipment,Тяжёлый шестизарядник. Патрон .44. Любимое оружие следователей ГТ.,5,0.5
Rifle,Equipment,Огнестрельное оружие с длинным стволом. Используется сотрудниками Гильдии Силы и бойцами,5,0.5
Rifle Case,Equipment,Брезентовый чехол на ремне. С отделом для маслёнки.,5,0.5
Rifle GS-1 Export,Equipment,"Укороченный ствол, складной приклад. Для экипажей.",5,0.5
Rifle GS-1 mod.2080,Tech,"Магазинная винтовка под патрон 7,62×54. Основное оружие Гильдии Силы.",5,0.5
Rigging Carabiner,Equipment,С муфтой. Для крепления груза.,5,0.5
Rigging Cleat,Equipment,Двухрогая. Для крепления конца.,5,0.5
Rigging Impregnation PT-1,Resources,Защищает тросы от мезиевого тумана и перепадов высот.,50,1.0
Rigging Wrench Set,Equipment,5 ключей разных размеров.,5,0.5
Rigid Stretcher,Equipment,"Фанерные, с ручками.",5,0.5
Riveting Hammer,Food,Пневматический. С набором насадок.,10,0.3
Rod Antigrav,Antigrav,Калиброванные прутки для токарных работ и осей МАГ-генераторов.,20,1.0
Roll Bandage,Medical,2 см × 5 м. Для фиксации повязки.,10,0.1
Roll Tracing Paper,Equipment,"50 м, ширина 60 см.",5,0.5
Roller Sun Shade,Equipment,Для иллюминаторов.,5,0.5
Rolling Pin,Equipment,"Деревянная, с вращающимися ручками.",5,0.5
Rooster Weather Vane,Equipment,Металлический. Для определения ветра.,5,0.5
Round Nose Pliers,Equipment,Для изготовления колец и хомутов.,5,0.5
Round Porthole Glass,Resources,Диаметр 300 мм. Оргстекло.,50,1.0
Rowboat,Equipment,"Деревянная, на 8 вёсел.",5,0.5
Rubber Baton,Equipment,Стандартное оружие патрульных ГС. Длина 60 см.,5,0.5
Rubber Eraser,Tech,Мягкая резинка для удаления пламба с бумаги.,5,0.5
Rubber Galoshes,Food,Надеваются поверх ботинок в сырую погоду на палубе.,10,0.3
Rubber Hot Water Bottle,Resources,На 2 л. С пробкой.,10,0.5
Rudder,Equipment,Перо руля из дюраля + стальной баллер.,5,0.5
Rum Merchant,Food,Из южных сахарных плантаций. Выдержка 3 года.,10,0.3
Russian Checkers,Equipment,"Деревянные. 12 чёрных, 12 белых.",5,0.5
Rye Bread Primium,Food,Кислый хлеб с тмином. Выпекается в городских пекарнях.,10,0.3
Safety Valve,Tech,Настраиваемый на 10 атм.,5,0.5
Salted Butter,Food,Вес 200 г. В пергаменте.,20,0.5
Salted Fish Way,Food,Скумбрия пряного посола. В вакуумной упаковке.,10,0.3
Salted Pork Fat,Food,С чесноком и чёрным перцем. Дорожная еда.,10,0.3
Sandpaper,Tech,На тканевой основе. Зерно 40–600.,5,0.5
Satchel Bag,Equipment,Кожаная сумка через плечо для карт и документов.,5,0.5
Sauerkraut,Medical,С клюквой. Витаминный запас на зиму.,10,0.1
Schnapps Keg,Food,"Дубовый, 5 л. С краником.",10,0.3
Scope Mount,Equipment,Латунный кронштейн для установки прицела.,5,0.5
Scope Tube-4x,Food,Четырёхкратное увеличение. Сетка с дальномером.,10,0.3
Scupper,Equipment,Отверстие для стока воды на палубе.,5,0.5
Sea Buckthorn Tea,Food,"Горячий, с мёдом. От простуды.",10,0.3
Seal Mandrel,Equipment,"Конусная, латунная.",5,0.5
Sealed Wax Envelope,Equipment,Красный сургуч. Для секретной переписки.,5,0.5
Sealing Wax Stick,Equipment,Красный. С клеймом «ГТ».,5,0.5
Sealing Wire,Equipment,В бухте 50 м.,5,0.5
Seam Sealant NM-300,Resources,Тубус 300 мл. Антимезиевая защита швов.,50,1.0
Search Warrant,Equipment,С печатью ГТ и подписью.,5,0.5
Searchlight,Tech,Мощный электрический фонарь для освещения портов и стыковочных площадок,5,0.5
Secundus-Style Fish Soup,Equipment,"Рыбная, с картофелем и укропом.",5,0.5
Seed Kozinak,Food,Плитка 150 г.,10,0.3
Selenium Rectifier,Tech,Для зарядки аккумуляторных батарей.,5,0.5
Self-Recording Barograph,Equipment,Недельная запись давления.,5,0.5
Settlement Permit,Equipment,Бланк ГУ. Даёт право проживания в городе.,5,0.5
Sewing Needle Set,Equipment,12 шт. Разных номеров.,5,0.5
Sewing Thread,Equipment,"Катушка 100 м. Белые, чёрные, серые.",5,0.5
Shaft Line Bearing,Tech,"Бронзовый, водяной смазки.",5,0.5
Shaving Brush,Equipment,Барсучий ворс. Металлическая ручка.,5,0.5
Sheet Antigrav,Antigrav,Прокат антигравия толщиной 2–12 мм. Используется для обшивки кораблей и контейнеров.,20,1.0
Shellac Varnish,Resources,Традиционный лак для дерева и документов. Производится в южных угодьях.,50,1.0
Shift Report,Equipment,Ежедневная отчётность механика.,5,0.5
Ship's Bell Rynda,Equipment,Латунный. Сигнал туман/тревога.,5,0.5
Ship's Chronometer,Tech,Морской хронометр в деревянном корпусе.,5,0.5
Ship's Log,Tech,"Записная книга с навигационными заметками, координатами и чертежами. Ключевой артефакт, за которым охотятся многие",5,0.5
Ship's Magnetic Compass,Tech,В кардановом подвесе. С подсветкой.,5,0.5
Ship's Mechanical Clock,Equipment,"Настенные, с боем. В латунном корпусе.",5,0.5
Ship's Muster Roll,Food,Список экипажа. Утверждается портом.,10,0.3
Ship's Wheel,Equipment,"Деревянный, четырёхспицевый.",5,0.5
Ship's Whistle,Equipment,"Металлический, с пронзительным звуком.",5,0.5
Shoe Awl,Equipment,С деревянной ручкой. Для прокола кожи.,5,0.5
Shoe Brush,Equipment,С жёсткой щетиной. Вакса в комплекте.,5,0.5
Shoe Polish,Equipment,Чёрная. Жестяная банка 50 г.,5,0.5
Shoe Rasp,Equipment,"Полукруглый, для кожи и дерева.",5,0.5
Shoelace,Equipment,Кожаный. Пара 80 см.,5,0.5
Short-Barreled Pistol,Equipment,Огнестрельное оружие компактных размеров для самообороны и ближнего боя,5,0.5
Shotgun Petrel,Equipment,Помповое ружьё 12 калибра. Для охраны грузов и борьбы с абордажем.,5,0.5
Side Cutters,Food,Для резки проволоки диаметром до 3 мм.,10,0.3
Signal Drum,Equipment,Малый. Для тревоги.,5,0.5
Signal Flare Gun,Equipment,"Однозарядная, калибр 26 мм. Красные/зелёные ракеты.",5,0.5
Signal Pipe,Equipment,Деревянная. Для сменных команд.,5,0.5
Silencer Silence-2,Equipment,Навинчиваемый на 9 мм. Резиновые шайбы сменные.,5,0.5
Silver Cigarette Case,Resources,С монограммой. Подарочный.,10,0.5
Single Pulley Block,Equipment,"Латунный, для подъёма груза.",5,0.5
Single-Burner Electric Stove,Equipment,С открытой спиралью.,5,0.5
Skol 1 (Iron),Equipment,"Самый малый номинал. Серый сплав, по центру — номинал.",5,0.5
Skol 10 (Silver),Resources,"Светлый, блестящий. С зубчатым краем.",50,1.0
Skol 100 (Platinum),Food,Белый блеск. С ромбическим паттерном.,10,0.3
Skol 25 (Gold-Silver),Resources,Позолоченная середина. Редкий в обиходе.,50,1.0
Skol 5 (Bronze),Resources,Коричневатый сплав. С насечкой по краю.,50,1.0
Skol 50 (Gold),Resources,Цельный золотой жетон. Тяжёлый.,10,0.5
Skollch (Half Skol),Equipment,Обрубленный скол 1. Для мелких трат.,5,0.5
Skols,Equipment,"Металлические жетоны — валюта Нового Правительства. Плоские удлинённые жетоны разного номинала. Также называются скольчатами, МНП (Металл Нового Правительства) или монетами",5,0.5
Sledgehammer 4kg,Equipment,Для тяжёлых работ. Из стали ГС.,5,0.5
Sleeping Pills Peace-1,Medical,Растительные компоненты. 10 таблеток.,10,0.1
Sleeve Rank Patch,Equipment,Латунная нить. 1 полоска = 1 ранг.,5,0.5
Small Sealed Container,Equipment,"Пластиковый, 10 л.",5,0.5
SMG Sturm-9,Tech,Компактный автоматический под патрон 9 мм. 32 патрона в магазине.,5,0.5
SMG Tiger mod.2088,Food,Импортный ПП калибра 9 мм. Высокий темп стрельбы.,10,0.3
Smoking Pipe,Equipment,"Деревянная, с изогнутым чубуком. Механическая гравировка.",5,0.5
Smoking Pipe (Cherry),Equipment,Вишнёвое дерево. С мундштуком.,5,0.5
Smooth File,Equipment,Мелкая насечка. Для чистовой обработки.,5,0.5
Smooth Micrometer M-50,Food,"Измерение до 50 мм с точностью 0,01 мм.",10,0.3
Sniper Rifle Target-1,Equipment,"Тяжёлая винтовка с оптикой. Калибр 12,7 мм. Дальность до 800 м.",5,0.5
Soap Dish,Equipment,"Керамическая, с крышкой.",5,0.5
Soapstone (Talc),Resources,Смазка для пресс-форм и контактов.,50,1.0
Soft Carpenter's Plumb M-1,Equipment,Мягкий грифель для работы по дереву. Оставляет яркую линию.,5,0.5
SOL Distributor Card,Equipment,Персональная карточка-идентификатор для доступа к системе СОЛ,5,0.5
SOL Key,Tech,Физический ключ для включения терминала.,5,0.5
SOL Medical Card,Medical,Персональная с историей болезней.,10,0.1
SOL Memory Cartridge,Equipment,Керамическая пластина с кодировкой. 64 Кслов.,5,0.5
SOL Printer,Tech,Электромеханический. Печать на бумагу.,5,0.5
SOL Registration Certificate,Equipment,Штамп СОЛ и подпись оператора.,5,0.5
Soldier's Duffel Bag,Equipment,Брезентовый с утяжкой.,5,0.5
Solitaire Cards,Equipment,Колода 52 карты. Для досуга вахты.,5,0.5
Sorghum Broom,Equipment,Связанный. Подметание палубы.,5,0.5
Soup Bowl,Equipment,"Фаянсовая, белая.",5,0.5
Sour Cabbage Soup,Food,Квашеная капуста с мясом. Густой суп.,10,0.3
Sour Cream 25%,Food,В стеклянных банках с крышкой.,10,0.3
Sour Cream for Pies,Food,В стеклянной банке 200 мл.,10,0.3
Souvenir Ship in a Bottle,Food,Модель парома внутри стеклянной бутылки.,10,0.3
Spar,Equipment,Съёмная мачта для сигнализации.,5,0.5
Spare Magazine .44,Tech,Барабан-ускоритель на 6 патронов.,5,0.5
Spare Magazine 9mm,Tech,"На 12 патронов. Стальной корпус, пружина.",5,0.5
Spherical Mechanism (Prototype),Equipment,Летающий дрон-прототип с шаровидным корпусом. Разработан инженерами,5,0.5
Spice Rack,Equipment,"Настенная, на 6 баночек.",5,0.5
Spirit Level,Equipment,"Алюминиевый корпус. Три колбы: продольная, поперечная, вертикальная.",5,0.5
Stabilized Mezium M-1,Meziy,Прошедший тройную дистилляцию. Безопасен при стандартных температурах. Основа для катализаторов.,20,1.0
Stamp Paper,Tech,С водяным знаком НП. Для официальных документов.,5,0.5
Stamped Postal Envelope,Equipment,С маркой НП. Адрес от руки.,5,0.5
Standard Leather Belt,Equipment,Широкая полоса кожи с массивной пряжкой. Носится с формой.,5,0.5
Standard MAG-3,Tech,"Основной источник энергии фермерских угодий. 5 кВт, вес 40 кг.",20,1.0
Steam Generator,Tech,"Устройство для генерации пара, часть силовой установки паромов и кораблей",5,0.5
Stearin Candle,Equipment,В жестяной подставке. 8 штук в упаковке.,5,0.5
Steel Cable 6mm,Resources,Бухта 100 м. Для швартовов.,50,1.0
Steel Canister 20L,Resources,Для мезий-топлива. С клапаном.,50,1.0
Steel Climbing Carabiner,Equipment,Разрывная нагрузка 2000 кг.,20,1.0
Steel Frame Rib,Food,Ребро жёсткости фермы парома.,20,0.5
Steel Heels,Resources,Набойки для ремонта обуви. Кустарное производство.,50,1.0
Steel Helmet with Clips,Equipment,Для рабочих на стройке и в шахтах. Удерживает пламб за ухом.,20,1.0
Steel Rivets,Equipment,100 шт. Диаметр 4 мм.,20,1.0
Steel Ruler 500mm,Equipment,С миллиметровой шкалой. Толщина 2 мм.,20,1.0
Steering Rods,Equipment,С трубчатыми наконечниками.,5,0.5
Sterile Gauze Bandage,Medical,10 м × 10 см. Для перевязок.,10,0.1
Stethoscope,Equipment,Акустический. Груша + трубки.,5,0.5
Stewed Meat Ragout,Food,Говядина с картофелем и морковью. Консервированное.,10,0.3
Stopper Knife,Equipment,Кинжал с крестообразной гардой. Символ агента ГТ.,5,0.5
Storm Backpack,Food,Парусиновый рюкзак на 60 литров с клапаном-горловиной.,10,0.3
Storm Hood,Food,Непромокаемый капюшон поверх основной одежды. С утяжкой и козырём.,10,0.3
Straight Razor Thin,Equipment,"Стальная, с деревянной ручкой.",5,0.5
Stuffing Box Seal,Equipment,С графитовой набивкой.,5,0.5
Sugar Brushwood,Food,"Тонкое хрустящее печенье, жареное во фритюре.",10,0.3
Sugar Syrup,Food,Для коктейлей. Концентрированный.,10,0.3
Sulfuric Acid,Resources,Для гальванического производства и очистки антигравия.,50,1.0
Sundial,Equipment,"Палубные, стационарные.",5,0.5
Sunflower Halva,Food,Крошащаяся. 200 г.,10,0.3
Sunflower Seeds,Food,"Жареные, солёные.",10,0.3
Sunglasses,Equipment,С затемнёнными линзами на зажиме. Накладные.,5,0.5
Surgical Gloves,Medical,Тонкие резиновые. Для медработников и лабораторий ГСз.,10,0.1
Surgical Needle,Medical,"Изогнутая, атравматичная.",10,0.1
Surgical Scalpel,Medical,Сменное лезвие. Рукоять стальная.,10,0.1
Surgical Scissors,Medical,Изогнутые. Для перевязок.,10,0.1
Surgical Silk Suture,Medical,Стерильный. Катушка 5 м.,20,1.0
Surgical Tweezers,Medical,Длина 15 см.,10,0.1
Sword Cane,Equipment,"Узкий клинок, спрятанный в трости. Любимое оружие агентов ГТ.",5,0.5
Synthetic Suede,Resources,Для подкладки перчаток и чехлов.,10,0.5
Table Knife,Equipment,С деревянной ручкой.,5,0.5
Table Mustard,Food,В стеклянной банке. Острая.,10,0.3
Table Salt,Food,Крупного помола. В бумажном пакете 1 кг.,10,0.3
Table Vinegar,Food,"Синтетический, 9 %. Стекло 0,5 л.",10,0.3
Tablespoon,Equipment,Мельхиор. Полированная.,5,0.5
Tailor's Pattern,Equipment,Изогнутое. Для кроя формы.,5,0.5
Tailor's Shears,Equipment,Длинные лезвия. Для раскроя ткани и кожи.,5,0.5
Tank Container 500L,Equipment,Для мезий-топлива.,5,0.5
Tap M6,Equipment,Для нарезания резьбы в отверстиях.,5,0.5
Tap Wrench,Equipment,С двумя лапками. Регулируемый.,5,0.5
Taper Reamer,Equipment,Для обработки отверстий под штифты.,5,0.5
Tea Tin,Equipment,"Жестяная, с крышкой.",5,0.5
Tea Whistle,Food,"Керамический, в виде парома.",10,0.3
Teak Beam,Resources,Импортная древесина из южных теплиц. Для кают и палуб.,50,1.0
Tear-Off Calendar 2091,Equipment,Каждый день — факт об антигравии.,5,0.5
Teaspoon,Food,Алюминиевая.,10,0.3
Technical Antigrav AG-2,Antigrav,Промышленный стандарт. Основной материал для корпусов кораблей и несущих конструкций.,20,1.0
Technical Carbon Fiber,Food,Высокопрочный материал для каркасов дронов.,10,0.3
Technical Cardboard,Equipment,Многослойный картон для упаковки и фильтров.,20,1.0
Technical Funnel,Resources,"Стальная, для заливки топлива.",10,0.5
Technical Graphite,Tech,Для щёток МАГ и смазки замков СОЛ.,20,1.0
Technical Paraffin,Resources,Для герметизации и свечей.,50,1.0
Technical Pressure Gauge,Tech,До 25 атмосфер. Для контроля давления в парогенераторах.,20,1.0
Technical Rubber,Resources,Вулканизованный каучук из тропических теплиц. Для прокладок и колёс.,50,1.0
Technical Silver,Food,Для контактов высокоточных приборов СОЛ.,20,0.5
Technical Tin,Food,Для припоя в электромонтаже и покрытия контактов.,20,0.5
Technical Tweezers,Resources,Изогнутый. Для мелких деталей.,50,1.0
Telescope,Equipment,"Складная, 20-кратная. Для дозора.",5,0.5
Terry Towel,Equipment,"50×90. Белое, с вышивкой порта.",5,0.5
Test Tube with Stopper,Resources,10 мл. Для образцов мезия.,10,0.5
Theater Poster,Equipment,Гастроли труппы «Летучий голландец».,5,0.5
Thigh Holster,Equipment,Открытая кобура на ремне. Для револьвера.,5,0.5
Thumbtack,Equipment,"Латунная, с цветной головкой. 50 шт.",5,0.5
Timesheet,Equipment,Сетка на месяц. Для росписи.,5,0.5
Tin Bronze,Tech,Подшипниковая бронза для втулок и вкладышей ГМАГ.,20,1.0
Toasted Walnuts,Food,Подсушенные. 300 г в пакете.,10,0.3
Tobacco Pouch,Equipment,Хлопковая сумочка на завязке.,5,0.5
Tobacco Pouch (Suede),Equipment,Замшевый. С вышивкой.,5,0.5
Toilet Soap,Equipment,"Овальное, с травяным запахом.",5,0.5
Tomato Ketchup,Food,В стеклянной бутылке. Южные угодья.,10,0.3
Tool Chest,Equipment,"Деревянный, с откидной крышкой.",5,0.5
Tool Chest (Large),Equipment,С откидной крышкой и замком.,5,0.5
Tooth Powder,Equipment,В металлической банке. Мятная.,5,0.5
Toothbrush,Equipment,"Костяная ручка, щетина — конский волос.",5,0.5
Torque Wrench,Equipment,Со щелчком при достижении момента.,5,0.5
Tourniquet,Equipment,"Резиновый, с зажимом.",5,0.5
Tourniquet_field,Equipment,"Резиновый, для остановки крови.",5,0.5
Transport Tariff List,Food,Утверждён ГУ. Действителен до 2092.,10,0.3
Trash Bag,Equipment,"Крафтовый, 60 л.",5,0.5
Travel Ashtray,Equipment,Металлическая с крышкой. Карманная.,5,0.5
Travel Butter Cookies,Food,Долго не черствеет. Стандартный паёк пилота.,10,0.3
Travel Carpet Bag,Equipment,"Картонный, с металлическими уголками.",5,0.5
Travel Chess,Equipment,Фигуры в коробке. Поле складное.,5,0.5
Travel Cigarette Case,Equipment,Металлическая плоская коробка для сигарет. Из алюминия.,5,0.5
Travel Folding Umbrella,Equipment,"Стальная спица, ручка загнутая крючком. Ткань пропитана составом ПТ-1.",5,0.5
Travel Greatcoat,Equipment,Двубортная шинель из плотного сукна. Капюшон вшит внутрь воротника.,5,0.5
Travel Purse,Equipment,Тиснёная кожа. С защёлкой.,5,0.5
Triangular Bandage,Medical,"Хлопковая, треугольная.",10,0.1
Triple Pouch,Tech,Брезентовая сумка на три магазина. Крепится к поясу.,5,0.5
Tropical Panama Hat,Equipment,Широкополая шляпа из плотного хлопка. Популярна в южных угодьях.,5,0.5
Tropical Shorts,Equipment,Для южных угодий. Хлопок с мезиево-отталкивающей пропиткой.,5,0.5
Trouser Suspenders,Equipment,Широкие резиновые ленты с латунными зажимами.,5,0.5
Turtleneck Sweater,Food,"С высокой горловиной, из тонкой шерсти.",10,0.3
U-Luftreiniger-62,Equipment,Устаревшая модель воздухоочистительного оборудования немецкого производства. Очищает воздух от смога и примесей,5,0.5
Umbrella Cane,Equipment,"Длинный, с кривой ручкой. Чёрный нейлон.",5,0.5
Umbrella Cover,Equipment,"Тканевый, на кнопке.",5,0.5
Underbarrel Grenade Launcher,Equipment,Насадка на винтовку ГС-1. Осколочная/осветительная.,5,0.5
Underwear Buttons,Equipment,"Костяные, 12 мм. 20 шт.",5,0.5
Underwear Knit,Resources,Хлопковая основа для нижнего белья и лётных комбинезонов.,50,1.0
Uniform Buttons,Equipment,"Латунные, с гербом. 10 шт.",5,0.5
Uniform Skirt,Equipment,"Тёмно-синяя, до колена. Для женщин ГУ.",5,0.5
Universal Solvent RU-5,Tech,Органический растворитель для очистки деталей МАГ и инструмента.,20,1.0
Universal Wooden Crate,Equipment,40×30×30 см. С ручками.,5,0.5
Utility Kitchen Knife,Equipment,Лезвие 15 см.,5,0.5
Vaccination Certificate,Equipment,Бланк с печатью ГСз.,5,0.5
Valved Respirator,Equipment,Полумаска с выдыхательным клапаном.,5,0.5
Variable Pitch Propeller,Tech,Металлический. Для ГМАГ.,5,0.5
Vasodilator Drops,Medical,Для высотной болезни.,10,0.1
Vault Key,Equipment,"Позолоченный ключ, дающий доступ к сейфовому хранилищу Гильдии Успеха",5,0.5
Vegetable Oil,Equipment,Подсолнечное. В стеклянной бутылке 1 л.,20,1.0
Vegetable-Tanned Leather,Resources,Для обивки и изделий. Дубовая кора + фермерские шкуры.,10,0.5
Vernier Caliper ShTs-1,Tech,"С нониусом 0,1 мм. Для измерения деталей МАГ.",5,0.5
Visa Card,Equipment,Для посещения городов по разрешению.,5,0.5
Vitamin C Dragees Himalayas,Medical,Укрепление иммунитета.,10,0.1
Vodka Primium Pure,Food,Фильтрованная через антигравийную крошку. 40 %.,10,0.3
Volumetric Flask 250ml,Equipment,Стеклянная с делениями. Для лабораторий ГСз.,5,0.5
Waffle Towel,Equipment,30×50. Для рук.,5,0.5
Waist Sash,Equipment,Широкий кожаный ремень с пряжкой.,5,0.5
Walking Cane,Equipment,"Трость из металла или дерева, используется как опора или скрытое оружие",5,0.5
Walking Stick Seat,Equipment,Складная трость с распадающимся сиденьем. Пожилые чиновники.,5,0.5
Wall Calendar 2091,Equipment,С фотографиями городов.,5,0.5
Wall Safe,Equipment,"Стальной, с ключом. 30×20×20 см.",5,0.5
Wall Shelf,Equipment,Доска 80×20. С креплением.,5,0.5
Wall Sign,Equipment,Табличка «Выход на лётное поле».,5,0.5
Wall Spirit Thermometer,Medical,От –50 до +50 °C.,10,0.1
Wash Tub,Equipment,Пластиковый. 15 л.,5,0.5
Washbasin,Equipment,Эмалированный. Диаметр 40 см.,5,0.5
Washboard,Equipment,Ребристая. Деревянная.,5,0.5
Watch Log,Equipment,"События, погода, замечания.",5,0.5
Water Pitcher,Equipment,"Керамический, 2 л.",5,0.5
Water Tank,Equipment,"Металлический, 50 л. С краном.",5,0.5
Waterproof Cloak,Food,Прорезиненный плащ с капюшоном. Обязателен в дождливый сезон над облаками.,10,0.3
Watertight Cargo Hatch,Equipment,Диаметр 800 мм. С задрайками.,5,0.5
Wax Seal with Emblem,Equipment,Латунная. Поворотное устройство.,5,0.5
Waxed Rigging Thread,Equipment,Катушка 50 м. Для сшивки парусины.,5,0.5
Weapons Permit,Equipment,С фотографией. Калибры перечислены.,5,0.5
Weekly Flight Schedule,Tech,Отпечатан на бумаге. 42×30 см.,5,0.5
Welding Electrodes 3mm,Tech,Для черных металлов. Упаковка 1 кг.,5,0.5
Welding Gauntlets,Tech,Длинные рукавицы из спилка. Защита от искр и брызг мезия.,5,0.5
Welding Mask,Tech,Со стеклянным светофильтром.,5,0.5
Western Territories Pilot,Equipment,Описание высот и воздушных течений.,5,0.5
Wheat Flour Grade 1,Food,"Белая, мелкого помола. Бумажный мешок 5 кг.",10,0.3
Wheel Chock,Equipment,Для фиксации тележек на палубе.,5,0.5
Whiskey Valley,Food,Односолодовый. Выдержка в дубовых бочках 7 лет.,10,0.3
Wide-Neck Bottle,Equipment,"0,5 л. Для масла.",5,0.5
Window Air Conditioner,Equipment,Малошумный. Для кают-компании.,5,0.5
Windproof Tinted Goggles,Equipment,Очки с тонированными стёклами для защиты от ветра и яркого света на открытых площадках. Часто носятся пилотами и грузчиками,5,0.5
Wire Sieve,Equipment,Для просеивания муки.,5,0.5
Wire Splint,Equipment,Для фиксации шеи.,5,0.5
Wooden Ammo Box,Equipment,На 50 патронов. С перегородками.,5,0.5
Wooden Clothespins,Equipment,10 шт. С пружиной.,5,0.5
Wooden Pallet,Equipment,80×120 см. Для грузовых платформ.,5,0.5
Wooden Plumb Case,Equipment,На 6 штук. С крышкой.,5,0.5
Wooden Spatula,Equipment,Одноразовый. Упаковка 50 шт.,5,0.5
Wooden Stool,Equipment,Берёза. Сиденье круглое.,5,0.5
Wool Flight Scarf,Resources,Длинный широкий шарф. Обматывается вокруг шеи в три слоя.,10,0.5
Wool Pilotka,Resources,Облегчённый вариант для младших чинов и экипажей.,10,0.5
Wool Watch Cap,Resources,Для матросов на вахте.,10,0.5
Woolen Blanket,Resources,"Тёплое покрывало из шерсти, дорожная и постельная принадлежность",10,0.5
